0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:39 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:39 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [14/May/2018:18:36:40 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:35 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 500 11658
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:54 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12444
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:54 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:54 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12444
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:54 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12444
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:54 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:55 -0300] "GET /aletheia/contagens/novo HTTP/1.1" 200 12444
0:0:0:0:0:0:0:1 - - [14/May/2018:18:37:55 -0300] "GET /aletheia/images/favicon.png HTTP/1.1" 200 29266
